"","SampleID","ITS_ID","sample_name","Replicate","Site","Site_Grass","Site.Rep","Grass","Grass_Rep","Edge","SiteName","MAT_degC","MAP_mm","CollectionDate","Latitude","Longitude","Elevation_m","Grassland","Gradient","Bin","julianday","coll_GDD","GDD30yr","GDD3yr","GDD2015","ppt30yr","ppt3yr","ppt2015","soil_moisture","GWC","perc_moisture","pH","phos","ammonium","nitrate","SOM","herbivory_perc","avg_SLA","avg_SRL"
"X1351_1483","X1351_1483","SRR13801286","DMT_BOER_6",6,"DMT","DMT_BOER","DMT.6","BOER","BOER_6","no","DMT",NA,NA,"7/16/15",30.34736,-104.046683,1494.4,"desert","West","South",197,2627.888889,4835.944444,4634.231667,4699.335,336.6199999,285.9066644,338.8399944,0.867050723,0.153335063,13.29492772,7.77,0.193674272,0.997648823,0.395234632,1.852248756,2.5625,121.1191984,1897.795032
"X1351_1484","X1351_1484","SRR13801285","DMT_BOER_7",7,"DMT","DMT_BOER","DMT.7","BOER","BOER_7","no","DMT",NA,NA,"7/16/15",30.34736,-104.046683,1494.4,"desert","West","South",197,2627.888889,4835.944444,4634.231667,4699.335,336.6199999,285.9066644,338.8399944,0.867050723,0.153335063,13.29492772,7.77,0.193674272,0.997648823,0.395234632,1.852248756,2.5625,121.1191984,1897.795032
"X1351_1485","X1351_1485","SRR13801284","DMT_BOER_8",8,"DMT","DMT_BOER","DMT.8","BOER","BOER_8","no","DMT",NA,NA,"7/16/15",30.34736,-104.046683,1494.4,"desert","West","South",197,2627.888889,4835.944444,4634.231667,4699.335,336.6199999,285.9066644,338.8399944,0.867050723,0.153335063,13.29492772,7.77,0.193674272,0.997648823,0.395234632,1.852248756,2.5625,121.1191984,1897.795032
"X1351_1486","X1351_1486","SRR13801283","DMT_BOER_9",9,"DMT","DMT_BOER","DMT.9","BOER","BOER_9","no","DMT",NA,NA,"7/16/15",30.34736,-104.046683,1494.4,"desert","West","South",197,2627.888889,4835.944444,4634.231667,4699.335,336.6199999,285.9066644,338.8399944,0.867050723,0.153335063,13.29492772,7.77,0.193674272,0.997648823,0.395234632,1.852248756,2.5625,121.1191984,1897.795032
"X1351_1335","X1351_1335","SRR13801279","DMT_BOGR_12",12,"DMT","DMT_BOGR","DMT.12","BOGR","BOGR_12","no","DMT",NA,NA,"7/16/15",30.347583,-104.039516,1466.4,"desert","West","South",197,2627.888889,4835.944444,4634.231667,4699.335,334.3000002,285.9066644,338.8399944,0.877180119,0.140016718,12.28198811,8.31,0.192826646,0.981974343,0.389024935,1.783226525,3.979166667,129.3747598,1673.651392
"X1351_621","X1351_621","SRR13801282","DMT_BOGR_1",1,"DMT","DMT_BOGR","DMT.1","BOGR","BOGR_1","no","DMT",NA,NA,"7/16/15",30.347583,-104.039516,1466.4,"desert","West","South",197,2627.888889,4835.944444,4634.231667,4699.335,334.3000002,285.9066644,338.8399944,0.877180119,0.140016718,12.28198811,8.31,0.192826646,0.981974343,0.389024935,1.783226525,3.979166667,129.3747598,1673.651392
"X1351_622","X1351_622","SRR13801277","DMT_BOGR_2",2,"DMT","DMT_BOGR","DMT.2","BOGR","BOGR_2","no","DMT",NA,NA,"7/16/15",30.347583,-104.039516,1466.4,"desert","West","South",197,2627.888889,4835.944444,4634.231667,4699.335,334.3000002,285.9066644,338.8399944,0.877180119,0.140016718,12.28198811,8.31,0.192826646,0.981974343,0.389024935,1.783226525,3.979166667,129.3747598,1673.651392
"X1351_623","X1351_623","SRR13801276","DMT_BOGR_3",3,"DMT","DMT_BOGR","DMT.3","BOGR","BOGR_3","no","DMT",NA,NA,"7/16/15",30.347583,-104.039516,1466.4,"desert","West","South",197,2627.888889,4835.944444,4634.231667,4699.335,334.3000002,285.9066644,338.8399944,0.877180119,0.140016718,12.28198811,8.31,0.192826646,0.981974343,0.389024935,1.783226525,3.979166667,129.3747598,1673.651392
"X1351_625","X1351_625","SRR13801274","DMT_BOGR_5",5,"DMT","DMT_BOGR","DMT.5","BOGR","BOGR_5","no","DMT",NA,NA,"7/16/15",30.347583,-104.039516,1466.4,"desert","West","South",197,2627.888889,4835.944444,4634.231667,4699.335,334.3000002,285.9066644,338.8399944,0.877180119,0.140016718,12.28198811,8.31,0.192826646,0.981974343,0.389024935,1.783226525,3.979166667,129.3747598,1673.651392
"X1351_1475","X1351_1475","SRR13801220","DMT_SCSC_10",10,"DMT","DMT_SCSC","DMT.10","SCSC","SCSC_10","no","DMT",NA,NA,"7/17/15",30.693816,-104.12415,1823.9,"desert","West","South",198,2528.277778,4427.944444,4527.841667,4565.72,451.4699955,427.1966737,527.3600006,0.804577619,0.242888165,19.54223814,7.07,0.21516279,1.073845645,0.425421229,6.353148751,7.708333333,112.3841052,659.4284582
"X1351_1466","X1351_1466","SRR13801221","DMT_SCSC_1",1,"DMT","DMT_SCSC","DMT.1","SCSC","SCSC_1","no","DMT",NA,NA,"7/17/15",30.693816,-104.12415,1823.9,"desert","West","South",198,2528.277778,4427.944444,4527.841667,4565.72,451.4699955,427.1966737,527.3600006,0.804577619,0.242888165,19.54223814,7.07,0.21516279,1.073845645,0.425421229,6.353148751,7.708333333,112.3841052,659.4284582
"X1351_1467","X1351_1467","SRR13801216","DMT_SCSC_2",2,"DMT","DMT_SCSC","DMT.2","SCSC","SCSC_2","no","DMT",NA,NA,"7/17/15",30.693816,-104.12415,1823.9,"desert","West","South",198,2528.277778,4427.944444,4527.841667,4565.72,451.4699955,427.1966737,527.3600006,0.804577619,0.242888165,19.54223814,7.07,0.21516279,1.073845645,0.425421229,6.353148751,7.708333333,112.3841052,659.4284582
"X1351_1468","X1351_1468","SRR13801215","DMT_SCSC_3",3,"DMT","DMT_SCSC","DMT.3","SCSC","SCSC_3","no","DMT",NA,NA,"7/17/15",30.693816,-104.12415,1823.9,"desert","West","South",198,2528.277778,4427.944444,4527.841667,4565.72,451.4699955,427.1966737,527.3600006,0.804577619,0.242888165,19.54223814,7.07,0.21516279,1.073845645,0.425421229,6.353148751,7.708333333,112.3841052,659.4284582
"X1351_1469","X1351_1469","SRR13801214","DMT_SCSC_4",4,"DMT","DMT_SCSC","DMT.4","SCSC","SCSC_4","no","DMT",NA,NA,"7/17/15",30.693816,-104.12415,1823.9,"desert","West","South",198,2528.277778,4427.944444,4527.841667,4565.72,451.4699955,427.1966737,527.3600006,0.804577619,0.242888165,19.54223814,7.07,0.21516279,1.073845645,0.425421229,6.353148751,7.708333333,112.3841052,659.4284582
"X1351_1470","X1351_1470","SRR13801213","DMT_SCSC_5",5,"DMT","DMT_SCSC","DMT.5","SCSC","SCSC_5","no","DMT",NA,NA,"7/17/15",30.693816,-104.12415,1823.9,"desert","West","South",198,2528.277778,4427.944444,4527.841667,4565.72,451.4699955,427.1966737,527.3600006,0.804577619,0.242888165,19.54223814,7.07,0.21516279,1.073845645,0.425421229,6.353148751,7.708333333,112.3841052,659.4284582
"X1351_1471","X1351_1471","SRR13801212","DMT_SCSC_6",6,"DMT","DMT_SCSC","DMT.6","SCSC","SCSC_6","no","DMT",NA,NA,"7/17/15",30.693816,-104.12415,1823.9,"desert","West","South",198,2528.277778,4427.944444,4527.841667,4565.72,451.4699955,427.1966737,527.3600006,0.804577619,0.242888165,19.54223814,7.07,0.21516279,1.073845645,0.425421229,6.353148751,7.708333333,112.3841052,659.4284582
"X1351_1472","X1351_1472","SRR13801211","DMT_SCSC_7",7,"DMT","DMT_SCSC","DMT.7","SCSC","SCSC_7","no","DMT",NA,NA,"7/17/15",30.693816,-104.12415,1823.9,"desert","West","South",198,2528.277778,4427.944444,4527.841667,4565.72,451.4699955,427.1966737,527.3600006,0.804577619,0.242888165,19.54223814,7.07,0.21516279,1.073845645,0.425421229,6.353148751,7.708333333,112.3841052,659.4284582
"X1351_1473","X1351_1473","SRR13801210","DMT_SCSC_8",8,"DMT","DMT_SCSC","DMT.8","SCSC","SCSC_8","no","DMT",NA,NA,"7/17/15",30.693816,-104.12415,1823.9,"desert","West","South",198,2528.277778,4427.944444,4527.841667,4565.72,451.4699955,427.1966737,527.3600006,0.804577619,0.242888165,19.54223814,7.07,0.21516279,1.073845645,0.425421229,6.353148751,7.708333333,112.3841052,659.4284582
"X1351_615","X1351_615","SRR13801207","FCP_BOGR_1",1,"FCP","FCP_BOGR","FCP.1","BOGR","BOGR_1","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.985158918,0.015064658,1.484108222,6.78,0.196840651,1.006728342,0.39883163,3.595711048,0,98.41662417,2750.340436
"X1351_616","X1351_616","SRR13801203","FCP_BOGR_2",2,"FCP","FCP_BOGR","FCP.2","BOGR","BOGR_2","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.985158918,0.015064658,1.484108222,6.78,0.196840651,1.006728342,0.39883163,3.595711048,0,98.41662417,2750.340436
"X1351_617","X1351_617","SRR13801202","FCP_BOGR_3",3,"FCP","FCP_BOGR","FCP.3","BOGR","BOGR_3","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.985158918,0.015064658,1.484108222,6.78,0.196840651,1.006728342,0.39883163,3.595711048,0,98.41662417,2750.340436
"X1351_619","X1351_619","SRR13801200","FCP_BOGR_5",5,"FCP","FCP_BOGR","FCP.5","BOGR","BOGR_5","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.985158918,0.015064658,1.484108222,6.78,0.196840651,1.006728342,0.39883163,3.595711048,0,98.41662417,2750.340436
"X1351_1451","X1351_1451","SRR13801193","FCP_BUDA_10",10,"FCP","FCP_BUDA","FCP.10","BUDA","BUDA_10","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.820283068,0.219091359,17.9716932,7.62,0.204120396,1.067657911,0.422969859,2.901511019,8.666666667,140.9006186,1649.767458
"X1351_1452","X1351_1452","SRR13801192","FCP_BUDA_11",11,"FCP","FCP_BUDA","FCP.11","BUDA","BUDA_11","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.820283068,0.219091359,17.9716932,7.62,0.204120396,1.067657911,0.422969859,2.901511019,8.666666667,140.9006186,1649.767458
"X1351_1453","X1351_1453","SRR13801191","FCP_BUDA_12",12,"FCP","FCP_BUDA","FCP.12","BUDA","BUDA_12","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.820283068,0.219091359,17.9716932,7.62,0.204120396,1.067657911,0.422969859,2.901511019,8.666666667,140.9006186,1649.767458
"X1351_1442","X1351_1442","SRR13801194","FCP_BUDA_1",1,"FCP","FCP_BUDA","FCP.1","BUDA","BUDA_1","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.820283068,0.219091359,17.9716932,7.62,0.204120396,1.067657911,0.422969859,2.901511019,8.666666667,140.9006186,1649.767458
"X1351_1443","X1351_1443","SRR13801190","FCP_BUDA_2",2,"FCP","FCP_BUDA","FCP.2","BUDA","BUDA_2","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.820283068,0.219091359,17.9716932,7.62,0.204120396,1.067657911,0.422969859,2.901511019,8.666666667,140.9006186,1649.767458
"X1351_1444","X1351_1444","SRR13801189","FCP_BUDA_3",3,"FCP","FCP_BUDA","FCP.3","BUDA","BUDA_3","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.820283068,0.219091359,17.9716932,7.62,0.204120396,1.067657911,0.422969859,2.901511019,8.666666667,140.9006186,1649.767458
"X1351_1445","X1351_1445","SRR13801188","FCP_BUDA_4",4,"FCP","FCP_BUDA","FCP.4","BUDA","BUDA_4","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.820283068,0.219091359,17.9716932,7.62,0.204120396,1.067657911,0.422969859,2.901511019,8.666666667,140.9006186,1649.767458
"X1351_1446","X1351_1446","SRR13801187","FCP_BUDA_5",5,"FCP","FCP_BUDA","FCP.5","BUDA","BUDA_5","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.820283068,0.219091359,17.9716932,7.62,0.204120396,1.067657911,0.422969859,2.901511019,8.666666667,140.9006186,1649.767458
"X1351_1447","X1351_1447","SRR13801184","FCP_BUDA_6",6,"FCP","FCP_BUDA","FCP.6","BUDA","BUDA_6","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.820283068,0.219091359,17.9716932,7.62,0.204120396,1.067657911,0.422969859,2.901511019,8.666666667,140.9006186,1649.767458
"X1351_1448","X1351_1448","SRR13801183","FCP_BUDA_7",7,"FCP","FCP_BUDA","FCP.7","BUDA","BUDA_7","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.820283068,0.219091359,17.9716932,7.62,0.204120396,1.067657911,0.422969859,2.901511019,8.666666667,140.9006186,1649.767458
"X1351_1449","X1351_1449","SRR13801182","FCP_BUDA_8",8,"FCP","FCP_BUDA","FCP.8","BUDA","BUDA_8","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.820283068,0.219091359,17.9716932,7.62,0.204120396,1.067657911,0.422969859,2.901511019,8.666666667,140.9006186,1649.767458
"X1351_1450","X1351_1450","SRR13801181","FCP_BUDA_9",9,"FCP","FCP_BUDA","FCP.9","BUDA","BUDA_9","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.820283068,0.219091359,17.9716932,7.62,0.204120396,1.067657911,0.422969859,2.901511019,8.666666667,140.9006186,1649.767458
"X1351_1463","X1351_1463","SRR13801179","FCP_SCSC_10",10,"FCP","FCP_SCSC","FCP.10","SCSC","SCSC_10","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.947558965,0.055343294,5.244103481,7.53,0.178050815,0.907527973,0.359531808,5.39332742,3.958333333,143.8688823,1325.243971
"X1351_1464","X1351_1464","SRR13801178","FCP_SCSC_11",11,"FCP","FCP_SCSC","FCP.11","SCSC","SCSC_11","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.947558965,0.055343294,5.244103481,7.53,0.178050815,0.907527973,0.359531808,5.39332742,3.958333333,143.8688823,1325.243971
"X1351_1465","X1351_1465","SRR13801177","FCP_SCSC_12",12,"FCP","FCP_SCSC","FCP.12","SCSC","SCSC_12","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.947558965,0.055343294,5.244103481,7.53,0.178050815,0.907527973,0.359531808,5.39332742,3.958333333,143.8688823,1325.243971
"X1351_1455","X1351_1455","SRR13801176","FCP_SCSC_2",2,"FCP","FCP_SCSC","FCP.2","SCSC","SCSC_2","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.947558965,0.055343294,5.244103481,7.53,0.178050815,0.907527973,0.359531808,5.39332742,3.958333333,143.8688823,1325.243971
"X1351_1456","X1351_1456","SRR13801127","FCP_SCSC_3",3,"FCP","FCP_SCSC","FCP.3","SCSC","SCSC_3","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.947558965,0.055343294,5.244103481,7.53,0.178050815,0.907527973,0.359531808,5.39332742,3.958333333,143.8688823,1325.243971
"X1351_1457","X1351_1457","SRR13801125","FCP_SCSC_4",4,"FCP","FCP_SCSC","FCP.4","SCSC","SCSC_4","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.947558965,0.055343294,5.244103481,7.53,0.178050815,0.907527973,0.359531808,5.39332742,3.958333333,143.8688823,1325.243971
"X1351_1458","X1351_1458","SRR13801124","FCP_SCSC_5",5,"FCP","FCP_SCSC","FCP.5","SCSC","SCSC_5","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.947558965,0.055343294,5.244103481,7.53,0.178050815,0.907527973,0.359531808,5.39332742,3.958333333,143.8688823,1325.243971
"X1351_1459","X1351_1459","SRR13801123","FCP_SCSC_6",6,"FCP","FCP_SCSC","FCP.6","SCSC","SCSC_6","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.947558965,0.055343294,5.244103481,7.53,0.178050815,0.907527973,0.359531808,5.39332742,3.958333333,143.8688823,1325.243971
"X1351_1460","X1351_1460","SRR13801122","FCP_SCSC_7",7,"FCP","FCP_SCSC","FCP.7","SCSC","SCSC_7","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.947558965,0.055343294,5.244103481,7.53,0.178050815,0.907527973,0.359531808,5.39332742,3.958333333,143.8688823,1325.243971
"X1351_1461","X1351_1461","SRR13801121","FCP_SCSC_8",8,"FCP","FCP_SCSC","FCP.8","SCSC","SCSC_8","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.947558965,0.055343294,5.244103481,7.53,0.178050815,0.907527973,0.359531808,5.39332742,3.958333333,143.8688823,1325.243971
"X1351_1462","X1351_1462","SRR13801120","FCP_SCSC_9",9,"FCP","FCP_SCSC","FCP.9","SCSC","SCSC_9","no","FCP",NA,NA,"7/20/15",36.0235,-99.9439,635,"mixed grass","Middle","North Central",201,2428.527778,4584.055556,3017.538333,3347.585,425.3600006,478.6033316,415.2199917,0.947558965,0.055343294,5.244103481,7.53,0.178050815,0.907527973,0.359531808,5.39332742,3.958333333,143.8688823,1325.243971
"X1351_1499","X1351_1499","SRR13801118","FMT_BOER_10",10,"FMT","FMT_BOER","FMT.10","BOER","BOER_10","no","FMT",NA,NA,"8/29/15",32.03624,-107.64451,1434,"desert","West","South Central",241,3763.694444,4985.472222,4861.565,4880.725,210.1100006,286.3033355,237.8799992,0.970438268,0.030462249,2.956173185,7.14,0.1718698,0.879107597,0.348272618,1.170301079,5.416666667,131.8314392,2095.891511
"X1351_1501","X1351_1501","SRR13801116","FMT_BOER_12",12,"FMT","FMT_BOER","FMT.12","BOER","BOER_12","no","FMT",NA,NA,"8/29/15",32.03624,-107.64451,1434,"desert","West","South Central",241,3763.694444,4985.472222,4861.565,4880.725,210.1100006,286.3033355,237.8799992,0.970438268,0.030462249,2.956173185,7.14,0.1718698,0.879107597,0.348272618,1.170301079,5.416666667,131.8314392,2095.891511
"X1351_1490","X1351_1490","SRR13801119","FMT_BOER_1",1,"FMT","FMT_BOER","FMT.1","BOER","BOER_1","no","FMT",NA,NA,"8/29/15",32.03624,-107.64451,1434,"desert","West","South Central",241,3763.694444,4985.472222,4861.565,4880.725,210.1100006,286.3033355,237.8799992,0.970438268,0.030462249,2.956173185,7.14,0.1718698,0.879107597,0.348272618,1.170301079,5.416666667,131.8314392,2095.891511
"X1351_1491","X1351_1491","SRR13801114","FMT_BOER_2",2,"FMT","FMT_BOER","FMT.2","BOER","BOER_2","no","FMT",NA,NA,"8/29/15",32.03624,-107.64451,1434,"desert","West","South Central",241,3763.694444,4985.472222,4861.565,4880.725,210.1100006,286.3033355,237.8799992,0.970438268,0.030462249,2.956173185,7.14,0.1718698,0.879107597,0.348272618,1.170301079,5.416666667,131.8314392,2095.891511
"X1351_1492","X1351_1492","SRR13801113","FMT_BOER_3",3,"FMT","FMT_BOER","FMT.3","BOER","BOER_3","no","FMT",NA,NA,"8/29/15",32.03624,-107.64451,1434,"desert","West","South Central",241,3763.694444,4985.472222,4861.565,4880.725,210.1100006,286.3033355,237.8799992,0.970438268,0.030462249,2.956173185,7.14,0.1718698,0.879107597,0.348272618,1.170301079,5.416666667,131.8314392,2095.891511
"X1351_1493","X1351_1493","SRR13801112","FMT_BOER_4",4,"FMT","FMT_BOER","FMT.4","BOER","BOER_4","no","FMT",NA,NA,"8/29/15",32.03624,-107.64451,1434,"desert","West","South Central",241,3763.694444,4985.472222,4861.565,4880.725,210.1100006,286.3033355,237.8799992,0.970438268,0.030462249,2.956173185,7.14,0.1718698,0.879107597,0.348272618,1.170301079,5.416666667,131.8314392,2095.891511
"X1351_1494","X1351_1494","SRR13801111","FMT_BOER_5",5,"FMT","FMT_BOER","FMT.5","BOER","BOER_5","no","FMT",NA,NA,"8/29/15",32.03624,-107.64451,1434,"desert","West","South Central",241,3763.694444,4985.472222,4861.565,4880.725,210.1100006,286.3033355,237.8799992,0.970438268,0.030462249,2.956173185,7.14,0.1718698,0.879107597,0.348272618,1.170301079,5.416666667,131.8314392,2095.891511
"X1351_1495","X1351_1495","SRR13801110","FMT_BOER_6",6,"FMT","FMT_BOER","FMT.6","BOER","BOER_6","no","FMT",NA,NA,"8/29/15",32.03624,-107.64451,1434,"desert","West","South Central",241,3763.694444,4985.472222,4861.565,4880.725,210.1100006,286.3033355,237.8799992,0.970438268,0.030462249,2.956173185,7.14,0.1718698,0.879107597,0.348272618,1.170301079,5.416666667,131.8314392,2095.891511
"X1351_1496","X1351_1496","SRR13801109","FMT_BOER_7",7,"FMT","FMT_BOER","FMT.7","BOER","BOER_7","no","FMT",NA,NA,"8/29/15",32.03624,-107.64451,1434,"desert","West","South Central",241,3763.694444,4985.472222,4861.565,4880.725,210.1100006,286.3033355,237.8799992,0.970438268,0.030462249,2.956173185,7.14,0.1718698,0.879107597,0.348272618,1.170301079,5.416666667,131.8314392,2095.891511
"X1351_1497","X1351_1497","SRR13801108","FMT_BOER_8",8,"FMT","FMT_BOER","FMT.8","BOER","BOER_8","no","FMT",NA,NA,"8/29/15",32.03624,-107.64451,1434,"desert","West","South Central",241,3763.694444,4985.472222,4861.565,4880.725,210.1100006,286.3033355,237.8799992,0.970438268,0.030462249,2.956173185,7.14,0.1718698,0.879107597,0.348272618,1.170301079,5.416666667,131.8314392,2095.891511
"X1351_1498","X1351_1498","SRR13801107","FMT_BOER_9",9,"FMT","FMT_BOER","FMT.9","BOER","BOER_9","no","FMT",NA,NA,"8/29/15",32.03624,-107.64451,1434,"desert","West","South Central",241,3763.694444,4985.472222,4861.565,4880.725,210.1100006,286.3033355,237.8799992,0.970438268,0.030462249,2.956173185,7.14,0.1718698,0.879107597,0.348272618,1.170301079,5.416666667,131.8314392,2095.891511
"X1351_1339","X1351_1339","SRR13801105","FMT_BOGR_10",10,"FMT","FMT_BOGR","FMT.10","BOGR","BOGR_10","no","FMT",NA,NA,"8/30/15",32.16806,-107.75105,1311,"desert","West","South Central",242,3788.055556,4985.472222,5103.71,5141.61,197.9699993,242.5299984,275.6799989,0.878876706,0.137816025,12.11232942,8.3,0.191467043,0.992189514,0.393071839,2.457626154,14.79166667,172.5761439,1748.809602
"X1351_627","X1351_627","SRR13800981","FMT_BOGR_2",2,"FMT","FMT_BOGR","FMT.2","BOGR","BOGR_2","no","FMT",NA,NA,"8/30/15",32.16806,-107.75105,1311,"desert","West","South Central",242,3788.055556,4985.472222,5103.71,5141.61,197.9699993,242.5299984,275.6799989,0.878876706,0.137816025,12.11232942,8.3,0.191467043,0.992189514,0.393071839,2.457626154,14.79166667,172.5761439,1748.809602
"X1351_628","X1351_628","SRR13800980","FMT_BOGR_3",3,"FMT","FMT_BOGR","FMT.3","BOGR","BOGR_3","no","FMT",NA,NA,"8/30/15",32.16806,-107.75105,1311,"desert","West","South Central",242,3788.055556,4985.472222,5103.71,5141.61,197.9699993,242.5299984,275.6799989,0.878876706,0.137816025,12.11232942,8.3,0.191467043,0.992189514,0.393071839,2.457626154,14.79166667,172.5761439,1748.809602
"X1351_630","X1351_630","SRR13800978","FMT_BOGR_5",5,"FMT","FMT_BOGR","FMT.5","BOGR","BOGR_5","no","FMT",NA,NA,"8/30/15",32.16806,-107.75105,1311,"desert","West","South Central",242,3788.055556,4985.472222,5103.71,5141.61,197.9699993,242.5299984,275.6799989,0.878876706,0.137816025,12.11232942,8.3,0.191467043,0.992189514,0.393071839,2.457626154,14.79166667,172.5761439,1748.809602
"X1351_1899","X1351_1899","SRR13801074","SFA_SCSC_10",10,"SFA","SFA_SCSC","SFA.10","SCSC","SCSC_10","no","SFA",NA,NA,"7/4/15",31.09185,-94.26535,74.7,"tallgrass","East","South",185,2648,5664.222222,5649.681667,5840.85,876.0900116,977.1066628,1233.229977,0.852256186,0.173356106,14.77438137,6.89,0.200311804,1.038882517,0.411570024,2.36912248,1.770833333,191.0361578,2616.379254
"X1351_1900","X1351_1900","SRR13801073","SFA_SCSC_11",11,"SFA","SFA_SCSC","SFA.11","SCSC","SCSC_11","no","SFA",NA,NA,"7/4/15",31.09185,-94.26535,74.7,"tallgrass","East","South",185,2648,5664.222222,5649.681667,5840.85,876.0900116,977.1066628,1233.229977,0.852256186,0.173356106,14.77438137,6.89,0.200311804,1.038882517,0.411570024,2.36912248,1.770833333,191.0361578,2616.379254
"X1351_1890","X1351_1890","SRR13801075","SFA_SCSC_1",1,"SFA","SFA_SCSC","SFA.1","SCSC","SCSC_1","no","SFA",NA,NA,"7/4/15",31.09185,-94.26535,74.7,"tallgrass","East","South",185,2648,5664.222222,5649.681667,5840.85,876.0900116,977.1066628,1233.229977,0.852256186,0.173356106,14.77438137,6.89,0.200311804,1.038882517,0.411570024,2.36912248,1.770833333,191.0361578,2616.379254
